paper_id,title,authors,year,doi,FINAL_EC_code,FINAL_reason
377,Traumatic Stress Exposure as a Predictor of Dual Systems Model Development: Examining Deviant Peer Association as a Social Mediating Mechanism,,2024,10.1177/00111287241305057,FT-EC2,FT_IC2 = NOT_MET
380,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study.,,2026,10.1177/10445463251415488,FT-EC2,FT_IC2 = NOT_MET
384,Associations between media parenting practices and early adolescent consumption of R-rated movies and mature-rated video games.,,2025,10.1186/s12887-024-05367-w,FT-EC2,FT_IC2 = NOT_MET
392,Association of physical activity and screen time with cardiovascular disease risk in the Adolescent Brain Cognitive Development Study.,,2024,10.1186/s12889-024-18790-6,FT-EC2,FT_IC2 = NOT_MET
397,Higher recreational screen time and lower step count are associated with higher cardiovascular disease risk in early adolescence,,2026,10.1186/s12889-026-26756-z,FT-EC2,FT_IC2 = NOT_MET
429,24-Hour Movement Behaviors and Impulsivity.,,2019,10.1542/peds.2019-0187,FT-EC2,FT_IC2 = NOT_MET
433,Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,,2026,10.1542/peds.2025-073891,FT-EC7,FT_EC7_applies = TRUE
442,The longitudinal association between reward processing and symptoms of video game addiction in the Adolescent Brain Cognitive Development Study.,,2024,10.1556/2006.2024.00068,FT-EC2,FT_IC2 = NOT_MET
446,Connectome-based predictive modelling of problematic gaming in youth from the ABCD study.,,2026,10.1556/2006.2025.00103,FT-EC2,FT_IC2 = NOT_MET
473,Passive Sensing of Preteens' Smartphone Use: An Adolescent Brain Cognitive Development (ABCD) Cohort Substudy.,,2021,10.2196/29426,FT-EC4,FT_IC3 = NOT_MET
475,"Associations Among Cyberbullying Victimization, Inhibitory Control, Neural Activation of Error Processing, and Mental Health Problems in Adolescents: Neuroimaging, Retrospective Longitudinal Cohort Study Using the Adolescent Brain Cognitive Development Data",,2026,10.2196/75126,FT-EC2,FT_IC2 = NOT_MET
534,ADHD and gaming addiction in adolescents: psychosocial mediators in the adolescent brain cognitive development study.,,2026,10.3389/fpsyt.2026.1756782,FT-EC2,FT_IC2 = NOT_MET
541,Typologies of Family Functioning and 24-h Movement Behaviors.,,2021,10.3390/ijerph18020699,FT-EC2,FT_IC2 = NOT_MET
543,American Children's Screen Time: Diminished Returns of Household Income in Black Families.,,2020,10.3390/info11110538,FT-EC7,FT_EC7_applies = TRUE
