title,authors,year,source,link,snippet,cited_by,pdf_link,gs_position,query
… association of parental psychosocial status with children's Body Mass Index z-score and the mediating role of children's energy balance behaviors-the ABCD Study,"ML Overman, T Vrijkotte, YM Sánchez Castro…",,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302147,"… Phase 4 of the ABCD study focused on children 10 to 12 … screen time on the weekends was multiplied by two. Following that, we computed the average number of hours of screen time. …",3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0302147&type=printable,1,"""ABCD Study"" ""screen time"" adolescent"
Prospective association of screen time with binge‐eating disorder among adolescents in the United States: The mediating role of depression,"AAA Al‐Shoaibi, IY Shao, KT Ganson…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/eat.24169,"… The current study utilized data from baseline to year 2 of the ABCD study. We excluded those with missing data for screen time or covariates at baseline (n = 1262), depression …",17,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eat.24169?utm_source=consensus,3,"""ABCD Study"" ""screen time"" adolescent"
Prospective association of screen time with binge-eating disorder among adolescents in the United States: The mediating role of depression,JM Nagata,,utoronto.scholaris.ca,https://utoronto.scholaris.ca/server/api/core/bitstreams/280d660e-ea41-4e95-98b0-f457e0ccf2c3/content,"… risk among adolescents. Public significance: Among US adolescents, higher screen time was … of US adolescents participating in the ABCD study. We also found that baseline screen …",,https://utoronto.scholaris.ca/server/api/core/bitstreams/280d660e-ea41-4e95-98b0-f457e0ccf2c3/content,8,"""ABCD Study"" ""screen time"" adolescent"
Changes in Rest-Activity Rhythms in Adolescents as They Age: Associations With Brain and Behavioral Changes in the ABCD Study,"R Zhang, ML Schwandt, L Vines, ND Volkow",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0890856724019828,"Objective Adolescents with disrupted rest-activity rhythms (RARs), including shorter sleep duration, later sleep timing, and low physical activity levels, are at greater risk for mental health …",6,,9,"""ABCD Study"" ""screen time"" adolescent"
Unpacking associations between mood symptoms and screen time in preadolescents: a network analysis,"SY Lin, NR Eaton, JL Schleider",,Springer,https://link.springer.com/article/10.1007/s10802-020-00703-x,"… ABCD Study is designed to follow youths recruited at age 9 and 10 (M = 9.91, SD = 0.62) from 9987 families into their adolescence… The ABCD study collected a wide variety of participant …",18,,10,"""ABCD Study"" ""screen time"" adolescent"
Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study,"R Koleilat, A Sabalbal, E Baroud…",,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/10445463251415488,"… presence of sleep disturbances, and youth screen time. For youth screen time, the total time spent on … Screen time (in hours per day) was classified into three categories: 0–4 hours (low; …",,,12,"""ABCD Study"" ""screen time"" adolescent"
Longitudinal relationships between lifestyle risk factors and neurodevelopment in early adolescence.,"L Mewton, S Davies, M Sunderland…",,psycnet.apa.org,https://psycnet.apa.org/record/2024-02073-001,… the baseline assessment of the ABCD Study (youth aged 9–10 … screen time measure was then calculated for this study using a weighted average of weekday and weekend screen time …,14,https://psycnet.apa.org/manuscript/2024-02073-001.pdf,17,"""ABCD Study"" ""screen time"" adolescent"
American children's screen time: diminished returns of household income in black families,S Assari,,mdpi.com,https://www.mdpi.com/2078-2489/11/11/538,"… For a detailed description of the sampling and recruitment for the ABCD study, consult [38]. The eligibility of our analysis was having valid data on all our study variables, including race, …",26,,20,"""ABCD Study"" ""screen time"" adolescent"
"… time, problematic screen use, and eating disorder symptoms among early adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) Study","J Chu, KT Ganson, A Testa, AAA Al-Shoaibi…",,Springer,https://link.springer.com/article/10.1007/s40519-024-01685-1,"… In this population-based, demographically diverse cohort of early adolescents in the US, we found that greater screen time and social media use were prospectively associated with …",34,https://link.springer.com/content/pdf/10.1007/s40519-024-01685-1.pdf,5,"""ABCD Study"" ""social media"" adolescent"
"… Time, Sleep, Brain Structural Neurobiology, and Sequential Associations With Child and Adolescent Psychopathology: Insights From the ABCD Study",M Potenza,,jaacap.org,https://www.jaacap.org/article/S0890-8567(24)01004-9/abstract,… for problematic social media use. We describe clinician perspectives on social media use and dissemination efforts to increase awareness to screen for problematic social media use …,,https://www.jaacap.org/article/S0890-8567(24)01004-9/pdf,16,"""ABCD Study"" ""social media"" adolescent"
"Mobile phone ownership, social media use, and substance use at ages 11–13 in the ABCD study","N Doran, NE Wade, KE Courtney, RM Sullivan…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306460324002600,… use have been associated with substance use in adolescent and young adult … ABCD Study examined associations between youth-reported mobile phone ownership and social media …,5,,1,"""ABCD Study"" ""social media"" adolescent"
The ABCD study: understanding the development of risk for mental and physical health outcomes,"NR Karcher, DM Barch",,nature.com,https://www.nature.com/articles/s41386-020-0736-6,"… Fourth, the ABCD Study focuses on adolescence. Adolescence is arguably a critical and … activity level, sleep quality, and social media use to the development and maintenance of …",425,https://www.nature.com/articles/s41386-020-0736-6_reference.pdf,6,"""ABCD Study"" ""social media"" adolescent"
"Sexual and gender minority identity, peer victimization, and suicidality in adolescents: A mediation study using the ABCD Study","S Liu, D English, Y Xiao, Y Li…",,Wiley Online Library,https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/jcpp.14155,"… Second, the ABCD Study is novel in assessing gender identity and sexual orientation at an early age. However, not all youth at this age have fully developed their identities or …",2,https://www.researchgate.net/profile/Sen-Liu-30/publication/390129425_Sexual_and_gender_minority_identity_peer_victimization_and_suicidality_in_adolescents_A_mediation_study_using_the_ABCD_Study/links/68a463fa1bee4d42a240d100/Sexual-and-gender-minority-identity-peer-victimization-and-suicidality-in-adolescents-A-mediation-study-using-the-ABCD-Study.pdf,19,"""ABCD Study"" ""social media"" adolescent"
Physical and mental health in adolescence: novel insights from a transdiagnostic examination of FitBit data in the ABCD study,"KSF Damme, TG Vargas, S Walther…",,nature.com,https://www.nature.com/articles/s41398-024-02794-2,"… ABCD study sample, χ 2 (1) = 0.50141, p = 0.4789. The current sample’s household income did differ from the larger ABCD study … racial makeup from the larger ABCD Study sample, χ 2 …",19,https://www.nature.com/articles/s41398-024-02794-2.pdf,12,"""ABCD Study"" ""social media"" adolescent"
The ABCD and HBCD studies: Longitudinal studies to inform prevention science,"GJ Dowling, EA Hoffman, KM Cole, EM Wargo…",,psychiatryonline.org,https://psychiatryonline.org/doi/abs/10.1176/appi.focus.20240016,"… the ABCD Study, informing our understanding of the mechanisms whereby prenatal exposure affects adolescent … , problematic social media use (assessed by the Social Media Addiction …",1,https://psychiatryonline.org/doi/pdf/10.1176/appi.focus.20240016,18,"""ABCD Study"" ""social media"" adolescent"
Cannabis expectancies mediate the association between social media use and cannabis experimentation in early adolescents: A prospective cohort study,"JM Nagata, A Caffrey, ND Nguyen, S Nayak…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0376871625004004,"… Social media exposure may influence early cannabis use behaviors in adolescents, … effects of cannabis) and their role in mediating cannabis use initiation in early adolescence. …",2,,20,"""ABCD Study"" ""social media"" adolescent"
